nome,usuario,curso,senha
Anrhltxi,ofzuvgr,uxuyvlr,244063
Qoevwbcs,yhbbchi,zztzubh,925162
Ykrglsnu,hbysyje,umoquzp,923693
Ihjbktof,thsxhjq,djlwpxj,442216
Bbgvxyoa,bubdtmo,ugpsvze,289516
Jmlwgkkn,kzzmbtz,qtmendh,110142
Bpsfbeny,tabzhkc,dzmcokj,137102
Kuxcdmlr,rntpkja,ybsvaoz,144423
Ahbftymu,dqripow,czqqdpz,145072
Krslvxee,sayzwrp,uerxfja,834062
Vpdajiio,uetwhro,zkmsrgd,375485
Ewjkfvza,bxkuubn,hduizie,927912
Kxfgawua,wfnpesa,tmvaxjo,391517
Bcpzognq,kllcioq,neyansw,473683
Otwplmjb,tosttee,rjvfxag,878513
Jjzckxpl,witfgfl,nnsomcv,529888
Fasrbgrv,gzgsaex,pdpesav,260203
Unfniiec,ygifxqc,flqobgq,306970
Hbkfnzdw,wbekcbz,swwlpbw,948484
Kuekgnpg,hcrrnmt,unulgnq,915886
Kdhgxkdb,wjptxbc,oqhiztv,749895
Lcqrgfrz,oqpdpgz,yzfznwf,543347
Ndfkwfrk,tztqvil,forumke,325189
Wibmgbtj,dnhpnav,jajtsuw,332666
Qnzvlrha,uageqpe,wktezds,177466
Sdzyfkyp,bdmvcke,hrflizd,535956
Xvwmhakw,faxpouy,ijymyri,679909
Vawlcjad,gcgrsoj,qenvltk,986312
Zrfvkplc,jowrzkg,isrcdfm,903049
Svotqdfs,gcijfrk,ywskgky,324698
Gwfsfpnw,bfpudgo,jinkyop,105866
Mqmcbrbm,wctpshi,jzuhruv,212365
Ksmjcqyj,tpwtdps,qpbzejt,336348
Ggfgktxq,nqebbmr,xlkutmi,390239
Kxtbagof,pcfdshe,ikycrnl,682042
Pyntbxky,qiyossq,pnqtbgq,629429
Tajkvhfq,sqxufly,qvwngxv,510233
Jlwdfxgv,bdsmspo,xndtfiq,204909
Vixaxuga,pptkdzd,nfwvyoi,343571
Annjqlhs,uvrfmkk,malqzmt,104165
Ycumhhal,oijnmhj,lszkvqo,843621
Miosfvew,emevgpg,ebvmfix,588520
Dbcdomjz,chelodb,ufpnipb,709096
Djzqvdox,jfgqzhq,dgazohh,161617
Dvamitnj,syxpzan,cswdhqz,304998
Eppqinig,diroxmm,wdovxeg,481944
Snkqeyek,nnqtqxz,majincj,295276
Rtpjncwa,rhgknja,zfvkiyq,461331
Nrnyfsry,ixbocza,atekgrf,653558
Ewsyyydz,vqrfnqw,uazekmo,525648
Ufpozvjk,ozovpxm,olierfm,710173
Rgqucpyg,zpxktaz,fycgjew,405444
Uxvpmkfi,saovork,cfjbarj,686451
Ehcatfho,splcwdl,oeohlbm,796447
Jwxyafxe,nbuezku,mibuhur,146196
Szncixsi,dfkijwv,ncxzbnn,140214
Gahttcyo,vwuubxf,unvcclg,204735
Pwsqgwdg,rwsdzme,owqzcqn,825351
Mglffeav,kjdnhse,oxggudz,164043
Vvjihghv,mrghjfc,njbwmhk,175057
Cqofxfvr,jqbmewu,elwjdds,450105
Wivyrfkx,keesndb,filncnz,202225
Atqrtnfy,finlbiv,eazbqvz,924350
Sxkpupvx,zlondxv,euogodx,171869
Zxrelydu,tvgagmi,savavvt,913060
Scypwhgr,kwsqjvm,jsoauhu,981222
Hhnuomya,hqjnmcp,enmkcxm,756568
Gmyxrdwd,osehfef,mtrjrab,830121
Cnawsefl,pailoth,jgafvge,907162
Rvosfaax,jcrcqab,wztszjm,940726
Hofwqzrr,sevaraf,tihiryp,207471
Tchdwcnn,bcggswl,grrpznv,631105
Estepvsk,qufgdpn,bhxgipt,385490
Fqwvyrem,fwmbfsu,gcovwnp,677819
Tnnnejxr,sltxxrw,uvfpryp,177866
Kiuhinrs,sceihuw,ffercpe,413761
Wkegqujw,qvnayly,ozvldez,685057
Lxrnncka,vdiwmwl,bkqzwks,213209
Cnsewdxf,wmgjasl,qrivbpn,646486
Flmettju,wvpppwp,opmcgci,505110
Ddwpystr,nkihrhp,vofnhlc,306369
Qbeuobbj,tbfkfsd,tvtldcr,376142
Mldubjjt,lxbzbzn,apzsiag,101832
Pfgjbvmb,pwvgtdt,aulcdky,726547
Umumwewf,rhoxzki,upybacw,849350
Yzpiptdi,cwgojcs,ddrzrpa,293145
Glqkuhcn,ddwnwhb,epdqpey,983880
Jadjjxos,munqrfs,rzzggnx,738901
Wkaidguk,hvrxsks,jbbypyf,158816
Xraccdav,zvwbbmt,tphepzo,947911
Xhglnsbi,oowmpkz,kvhjkhn,807834
Ylsqhatl,nxdksht,stkeifx,425753
Vinoqgfk,qzbmyqh,mfwsoqi,366855
Smbfehyr,iebluwo,lkufbgv,692328
Qekvbhit,aegjvcm,jcyrwxf,489006
Oulwjije,ifhjgmz,hkcuzlj,721681
Uymtntbp,zztbkwd,rfihzay,663523
Krbftexf,bikiqsw,cunqysl,632536
Yhngwcxf,xultwlx,ztzlcvq,145107
Axzkpmfe,xkolbeo,jbfipmu,715095
Ajeuyutn,mwfvcca,dsbpsgq,309601
Qcpbxacz,ydhjweg,gipgmqv,368924
Lvtitrqh,csybved,mfptjnj,976687
Jssskjre,gfmsnjx,wzlsdfk,872677
Qgqymfzq,thahqgm,cblhamq,259028
Gwgoyadc,cjmpoog,jxxppqt,380710
Mifdbzwp,srvwonf,rllcnxw,776658
Qglthbfq,pwarcsp,nvzhhvw,322486
Pwhqfvwy,ofskdoj,iujviij,651272
Mfqjxlsi,hpsfbgk,jphlwrv,924949
Qljlvyht,rygabxi,nljngjp,936240
Nqmrkwsu,gesvbrf,qdrcmpb,239194
Dxbviybu,sulspid,qukyvsx,261994
Ehdbtlbg,lbzisbn,usyvevs,518842
Zukllqdu,pnyazkc,idjtpll,595094
Sasqtxid,wpvejti,vnbxsfj,229678
Vcpjkqhe,qtetyqe,ndedgke,522521
Riyqobrc,uektzac,khdxjqu,130560
Lrsiklmp,obieeqi,imsuwtj,506504
Fkfbcyrt,qfypmuj,bgxqxsx,248075
Gcdkbzip,sorymeb,bkpdyep,285793
Qhbvyobi,ktoraso,ijxfdbk,323670
Mpnidpsf,sdhnrhp,kxurzok,962258
Fpjthwge,wbkyozp,pdejaml,710595
Nubwflvz,tgzxtux,lqpgihr,217386
Apeqqzjr,inxqqii,ndnfzfd,761808
Vhyjkrla,xiscsom,lkvooow,258519
Wqcblbvi,dmxeywa,icpnmpg,145114
Njfvrvas,zyfxrdo,lfdsedb,189138
Zzsklopf,aixtgdp,yaciswf,770597
Mnezpmpg,rjkrsnh,rjsmglj,517398
Ghxyesbw,niruhgy,ltpzyes,290973
Nccumkqy,hwjkwan,zkxmpfl,539532
Mpkuhmxs,apadtbo,wgntedo,230985
Twwvvypg,xnjnzxp,dmliecz,539880
Vomyqsko,bqrbaeg,cideqrt,882607
Ezhmvvoc,vrxxmbe,mdnqrwx,139644
Zfffvmmy,tyxypjy,ugherbc,110655
Htsherod,cmwuouy,iiztjzg,860603
Gvhgshdc,ddbsohp,orvrlij,794036
Uwqpyboc,zrhstsy,waulahr,640844
Fieimijt,nsvegbs,aalsmwn,940080
Wrmjzgmg,vanxlxd,okvxrrq,112382
Opzrfszn,fzsbpwy,glcxpoe,695416
Zaisljkh,ymbdegn,jehlkrl,494319
Zabkevsy,kudqegn,zqlejui,633270
Kujdzufm,jpvcgmh,qqmiatq,600103
Dmxppxke,lwogwji,lovywde,805136
Xivysvdo,mwxhvkv,imuuqco,296390
Ovvggsnb,emdqayg,sqmvwjj,835378
Ridsxhir,wsmionu,lbpwmog,797970
Ghxwhzax,lkvvmpv,lwimzip,452728
Djhbsfer,twsnban,tsragew,972493
Vivkgqzg,bfcbyxo,qrpfbjc,754884
Lfodmtek,ekpkpir,ebgetjq,479458
Utoljfun,aruipiv,jgrutrs,673260
Htqzmmpq,gooicun,tfftzmn,874161
Rinpxfks,bysfxvb,hulcdxv,871593
Tcesczta,cwkcplx,sysaxwq,436277
Tzgmrclu,vkmueac,xyrzfwk,614182
Cjuwhbrl,lweaeaz,jvvlacy,431502
Igdogjji,ubcekda,awdjnfo,280605
Urquqcqi,asqlvqy,polpoho,734349
Ihclaiww,emgjkhl,xatttji,864125
Ezozzges,lryeucr,gkugbvi,948432
Ysikiwvb,hcqcufk,nijrbxp,472483
Izzdlblg,wxzznbm,zjiibgd,632777
Aveugkhr,xpmgdjh,auqrjzu,707672
Jekjnucc,ytkvbam,lxhlkrh,374049
Kmqqffoa,brlqhzi,ofdykoh,942849
Atqhcwyb,ejovsql,ghvkpmp,310940
Nwelgaok,oemzclt,pbfazhf,480487
Yauiupbr,jplorbi,rwznbbv,668766
Oarjyaqi,ektjecz,kkzezuy,971653
Ygvpuvlc,dpatwhv,gdkbctj,808577
Dzsutpvg,qvtzdag,kciobuu,912915
Dpaoxlco,evotymy,ophfnak,492722
Ylgbttaz,ptwsgeh,wxnsshe,919560
Eedhumsk,daqywvm,aarygic,959906
Zpcepbql,cnfmsmf,jhnjasg,391318
Rhoxtghk,pmszdup,adwpknk,396157
Cwxlfnrq,ramcecq,kkqppyo,808465
Mijbwhyb,bzytdtf,dnnncwt,911852
Bipgadqm,zmbtmmc,xpgsabg,994072
Mvantmxl,huxvwwm,dyslwge,202732
Vxgfqmup,mosjjpf,hdbafxr,573855
Uhjjtxaa,uwnvoyr,pwyoxkz,213688
Slfeddtz,mnyjzzv,xueodhw,342662
Glsyethn,oopibaw,ztsgapz,347261
Cgkwjhtb,iypztrv,bndbdjn,208039
Frpfgijt,yaojvlt,xwqxcog,380285
Pkuhllxb,vcfulll,enpmstc,762067
Fmxttbqu,rfaueel,zqtwxzq,877690
Kpiustou,brehcnc,vvbldfu,511922
Qwgbypft,dmsmkie,nlfxtkf,306768
Gzvbfpuu,modjhpl,gzreoau,540074
Dwtpcspf,fveuyxl,mpwixkk,323490
Obzztzxp,blqveee,qhncqgq,919536
Xpamuplc,ewbseis,iowpmra,276067
Mllbcrro,vvytzpi,hsfpnoh,654603
Qbykhait,synmity,hrohomp,219527
Llrddylf,ludlhep,vokyfgu,524386
Nvsupdiz,jhlcuiy,sendnnv,483407
Wtzfrmtz,bovahxw,rnbazjz,762552
Mothsedb,nzqqzpw,pzxtvfr,838962
Awibbrmu,vhezewh,xakolve,928070
Rglyfjaz,jjkbnne,aojuqgy,604814
Gauhinws,lqfspod,getixba,775450
Qeromqnj,vdxqtxm,ckqqlzl,918496
Fzplrmnz,iiqawtd,vncjliy,142639
Ndweecap,bwqibgo,amlhlaa,358839
Ejuagqbr,amqktaq,jekxofw,271491
Zrcinril,mjvmklq,eazjxrw,517347
Kzmmsmdc,mdbspwd,xamnswg,423693
Azhlagyk,lwmutki,kjipypk,813662
Cmlnbgrq,tepfhel,lnekpwj,517298
Sjzvjyzl,oczhifg,saxyjqg,682244
Jkbqthky,mxnsqgb,uaadbte,719594
Omsytlnj,qrjnlwk,jilpbuo,349514
Jibppaus,zrbmgeo,drzcxyt,866729
Vqwzyhua,wsgiqhq,errudji,933954
Etriyoqf,jivgrcy,bevjbno,614844
Jegtnbnd,okuqgfa,cidrthz,530674
Afkvapzo,oyvlwjp,ltvcnsb,119066
Gzlhgtjo,dazkqcl,hktjpjt,677504
Gwrxqjos,zulxsyo,gecnjzs,929493
Fqjptxci,bnfvaub,wgpvnrz,357435
Gjndqhhy,ytilcnc,fjukapu,506359
Glzqziun,efsqaos,ocpaukq,538066
Bcnnpbeu,znqqrpp,nbzajhl,975296
Njndjspf,ycvsatw,obbnpke,445123
Jlxkbycw,vcqxisg,evmztcj,587369
Ekanabms,leebttw,nmnnlwa,429040
Fankefcd,ootiknt,sdzewto,820080
Arrczmui,uucibjk,qlmrqvk,153051
Bfcquxpo,wgwzuhf,hkaflcb,467534
Ndrkkpay,tjbmbdw,dggohxa,440874
Xwlodkqj,fysbsqd,wdnodcs,508517
Hyzongpy,oflvqvi,rigtxsd,777436
Azqdakjv,rmiqiqq,ieaywgm,533914
Grhgheiz,veaopdv,mxvriuv,452701
Babvlbop,reakhqh,zbogpyl,710771
Apgbmcyk,atcpqzb,akwuojy,595370
Sykfumqd,jenkxjf,onlstrs,811054
Vusnixwz,uwdgtjh,essrxwl,166318
Bldkdfaa,jlkgopl,fbrnphg,120465
Ljxdzzjz,cqjnptd,oztrusa,904366
Jiymfblf,zmtfhfd,ndugthr,836092
Dicnljcn,cfcbhac,mxgvylq,245415
Lfqbaqse,oxcsmbr,ngwiken,682272
Vgezkgrx,byxtslf,dcawxep,780977
Aaoeafmp,pkmmauw,cftqhfe,309276
Llhzysqt,igrccbc,bqxdoua,878229
Qqdvjild,ucsdwwx,fwtpsur,449373
Vqbwegsm,peyqsni,uxwdfdg,376457
Wbmumypo,ofgtadj,eobbfgl,821610
Xypfimfg,zswsbrs,pdrukyb,523277
Hiunzrfi,ugmdyjn,waihhdr,208683
Matqmhdw,pqzgzlt,sekemkq,867423
Lfelrjnc,ekldfjn,xvwkwcb,883900
Ggaekvpc,rturchv,jinvpwv,404074
Lxwrfmfj,kjjdppz,zzsdijr,592077
Qmzimgsk,ouvkunm,dfheuny,147510
Brdgriri,poofzgc,wdrghhi,598655
Mvhlzque,jrvwmbu,qvppmwl,738213
Vbsfuafo,usosveg,onylqnw,625858
Azmdotjy,pkivwhk,dquilud,937783
Bctcasif,ccjcmtg,pknhylw,636272
Jwrypksx,vrwkvyp,bnbzjdp,332140
Kngvjmap,wrxlphd,gesetve,184641
Yxmrcbbv,zephllh,zhsonpd,410971
Isbzgvyi,wihqpgg,sfhlnut,260336
Kdnfalew,lvwqzbi,xcsqndl,795047
Bdrtzxgw,efinttk,itveuld,270814
Gczciyen,rmscopi,nvkqvzw,999061
Ovgtstbq,mimqecy,bfqrffv,651957
Lmzyvvro,jdjpanl,brplybu,869181
Qfrjhnsl,dvrcdzx,sjnnfby,505275
Xisodyep,gfajqgx,iwspden,802939
Afcbkwmb,dvjbbhf,rqxbdsl,737341
Lxywytip,liphwvd,sejquyr,596022
Pghqtuyv,awwqwvd,iqvddzm,240820
Ggysvqte,fcsvnhh,nhwudqy,992201
Uigfhirb,onjqxbt,mrtneec,283705
Pbjtgmhq,wcgmxdu,alqpnao,277131
Uxopnkge,akbdbrw,wwbohva,627878
Qyzndmqc,rqsidkb,aqmccsn,451092
Nmwjdxty,ppnihzw,mkedlum,269204
Knrjdaux,pacgdlj,djdlfdn,583523
Phxkhouu,vmzrwky,cmjsqyq,350205
Mjadfxhy,wftvvls,itmnifl,110041
Scpxeqan,gcnuwek,exubars,317473
Ummptvsb,wenpbzr,ogpbejb,858479
Vjduwuds,qbkmjev,tycuuwv,829822
Andvcqqz,zpdzajp,uqfjbny,721100
Oxdgsbmk,olgghso,rgknach,347162
Ntgcprlu,vdwfrch,qnslkpp,596728
Ufxvwfbt,behvjdb,xyxkolv,789169
Ntqqbneo,rjnghiu,rjhqpdv,253148
Vjlugkea,dwygbcq,vtclkiq,747625
Ojomwzpu,vmpgbpx,rrhdbnk,705158
Cwhuojtg,gwzkwpt,kdsdceh,754525
Dnjfunum,wrpkiqi,thkwwif,427643
Jihdgntm,ghsizdr,mombmlg,139974
Icsrfdwj,oyhpfif,qnnsgiy,725867
Pasxnikv,llonxdf,rpbtnlm,734141
Irgudgak,drnfeqj,ldpmydx,284061
Vjohoywh,qjndduq,hmtniii,579170
Qzrwluim,jqgpjri,zxgmsuy,279540
Uxakualr,zpqlhbj,bgwkcbp,495491
Cgomzwug,akvxzay,gaywdid,731916
Jjgxewwx,ijjmlct,hvadhlj,342005
Mnfkmzgh,omkmcoj,ktvjpax,149370
Vjrdzjfl,ztjytbm,gyenynz,653026
Vdgmcgih,zqtvcqg,nrfmxlt,858350
Vewhaaqi,gslnaob,ownnqpl,583339
Ylzqwavr,edelfcc,ybdtoyh,746996
Btnincgw,freafth,vrxoidg,157524
Oacbqcbu,keiudue,ltmpena,647676
Mpbqremk,pegemmr,faynjjj,485330
Omfagckj,pydmuxg,ydvwyhm,700955
Oidubnsk,olypqid,zfccsse,346551
Lqtbeaot,mvwddmk,nkhkuch,305863
Jgqmaziq,lpzpvpy,tejzzrl,665830
Kcbkeocx,ydugram,nbkafxp,462032
Wzttynzg,nbtgnor,wrjomuu,789810
Tkpefzoa,bdavntq,chqrfph,723313
Whzujfbz,ohlware,iyixdoc,747271
Xoycoluu,zixikvc,llnphhz,406354
Lsltbhja,kymhrrd,xodppfy,843027
Ndjetmfd,bylpann,pgrxpum,944880
Qbtzovlg,dchlqpe,derdohw,688905
Itczochw,josbqme,xqdtybi,640304
Ytdcyskm,aodzvuz,ppmicjm,918418
Mtepohnh,nihzgvw,rhglaue,355078
Tzysxywh,xlopthc,mpnuyqw,903991
Fbnxetxg,jhwudll,tiozadt,982394
Axupwdej,witvkqc,radpleg,889428
Palmacml,oycqerz,ixhsanl,732073
Cscrrpra,yhdzaqy,oujyiad,732508
Npfqlomg,jtgljdm,smxjlvy,640481
Rsgwhyax,pesgbsj,cwrkfzw,896006
Chiporjt,oxfykvc,cdvnsnb,502878
Vwvpsrac,pwputxb,medyepn,581383
Paagvwfm,aeefmsa,iclollg,701531
Chtzfhex,bnsmxfp,vmiaguc,628536
Zlzhotgu,dffhgbr,jysyhme,544271
Tfottzpr,jbwvmok,bdbccyt,528704
Ywgaacnt,tdjvqkb,dicmidv,447598
Lcfazpei,mamzwfz,qzmdpnp,365088
Wycznpyz,uppnsbe,brzptkb,252744
Qphhgtnl,ntrndbe,yrbfoyy,262655
Dcqjutuq,cihxxlj,hxdiuvy,136226
Yavcdgtp,ikfhsnj,jhhyucq,995814
Lnbmlvjg,nvwgnhs,lkxfafk,311464
Dyvykjrl,bdanbcx,daytryw,814837
Wjdlufnz,sopaqgy,lmogail,732148
Srrmigcl,xiunnut,tpbmzqa,170613
Gejfgchc,wigsvya,yrzrdcv,248464
Fckitvua,zckwbtq,vdzoflf,686708
Pfptxhqc,vliwtpl,xhlaufx,479182
Zhdeuwrg,jtbiynp,erttntu,846466
Qibqawup,pobjzla,fixxyzy,959630
Lgpgdarj,fwrpixc,ghnelrt,757883
Mlaohkus,hmsqjzs,ihijtdv,501625
Cggpdqte,kpxnxiy,wktbdvh,312302
Eyyopsxv,deejtgb,qvqmbtz,336722
Lgfbkziw,oebdgmn,hgkydbj,300068
Nkovapfv,xhygvcf,dezzhlo,242119
Mnztnvde,oxzhjjt,gvstavi,167002
Xdodulvj,qitbhdd,cbztpow,956453
Xhoyafat,xuvpexg,grslfia,713621
Tlkppjzl,lliebwr,jyaqchw,653763
Hwnzhepn,ecqijfl,solffuz,364413
Ilcljwuh,rjkirzo,ylmxjly,672002
Smwtyfeb,wivqxmc,wqvjiko,128887
Xscffete,kouzlgu,wqvqzao,425133
Tgsplkki,qvtjxlh,awmsoui,131744
Zymjfzfp,rrrmsre,ehehqjq,193707
Zggffqoo,tkpjron,pmmnttb,797978
Kfonozrw,ixagpwy,sfwdyos,385866
Rdvhfdcc,gcmgvhv,fknpewu,337487
Fqnitymq,myoksfd,qsztpxi,534206
Kezvhhkx,zwmhivt,ozedwpo,258149
Fjtjqlen,uibwvii,ujqicef,165941
Jgqxoaqk,npdhgyq,kduoemj,713874
Sqqqipsf,zxfpigq,fpxhlwm,843668
Eznfmkrt,judhlcr,tdgrlre,137601
Gdenzhzg,ntwrmsp,etcjctm,762740
Ysytvpjg,rodpdbd,apsouhr,517380
